dataset,channel,activation,treatment,dose_label,construct,run,replicate,well,lag_sec,density_plated,n_cells,mu_lo,mu_hi,w_hi,sep,ll,n_lo_eff,n_hi_eff,mean_y,med_y,thr_frac,sigma_bio,converged,weak_low,weak_high,weak_sep,note,sigma_unstable,dose_num,pma_units,arm
dox,GFP,activated,run2,100,255,run2,1,run2_255_100_r1,600.0,,33,0.8595920805892546,2.4399390692689917,0.4714433707743717,1.5803469886797372,-38.92829724425872,17.442376723597114,15.557623276402884,1.6620207946382943,1.6368255489447114,0.5757575757575758,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run2
dox,GFP,activated,run2,100,255,run2,2,run2_255_100_r2,600.0,,37,0.1022264187238371,2.0709191926041393,0.6178952298998796,1.9686927738803024,-52.6479131908893,14.137876231918328,22.862123768081663,1.3710226862194976,1.498947923927315,0.5135135135135135,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run2
dox,GFP,activated,run2,100,255,run2,3,run2_255_100_r3,600.0,,25,0.7278151384197086,2.2604074504777816,0.5290330497424596,1.532592312058073,-31.647196958744637,11.774169795376412,13.22583020462359,1.5814357755532735,1.6237902901400556,0.6,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run2
dox,GFP,activated,run2,20,255,run2,1,run2_255_20_r1,600.0,,20,,,,,,,,,,,,False,,,,too few cells,False,20.0,,dox|activated|run2
dox,GFP,activated,run2,20,255,run2,2,run2_255_20_r2,600.0,,55,-0.0190627174468601,2.268366400371354,0.8090576453463304,2.2874291178182142,-70.8629357610741,10.50182843543029,44.49817156456973,1.881550168240392,2.243111917560971,0.7272727272727273,0.30947326629309,True,False,False,False,,False,20.0,,dox|activated|run2
dox,GFP,activated,run2,20,255,run2,3,run2_255_20_r3,600.0,,35,0.6178954141269741,2.1968773329252183,0.659661848115531,1.578981918798244,-45.07170249391979,11.911830213770612,23.088169786229383,1.7152205917734995,1.877890443193049,0.6857142857142857,0.30947326629309,True,False,False,False,,False,20.0,,dox|activated|run2
dox,GFP,activated,run2,500,255,run2,1,run2_255_500_r1,600.0,,42,1.4228391598738548,2.514265977968635,0.2487022022655942,1.09142681809478,-42.600503455721714,31.554521724163227,10.445478275836775,1.7001763012783528,1.6641079321568557,0.6904761904761905,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run2
dox,GFP,activated,run2,500,255,run2,2,run2_255_500_r2,600.0,,25,1.1695428409276525,2.625699433542137,0.450411848866536,1.4561565926144844,-31.053341466778363,13.739707593759384,11.260292406240618,1.849556755597452,1.7495840559333191,0.6,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run2
dox,GFP,activated,run2,500,255,run2,3,run2_255_500_r3,600.0,,21,,,,,,,,,,,,False,,,,too few cells,False,500.0,,dox|activated|run2
dox,GFP,activated,run2,untreated,255,run2,1,run2_255_untreated_r1,600.0,,56,0.4826024866638882,2.0980815525265917,0.7597687483466261,1.6154790658627034,-70.10706821483816,13.452944478957042,42.54705552104296,1.8084604804755753,2.036363291151763,0.6964285714285714,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run2
dox,GFP,activated,run2,untreated,255,run2,2,run2_255_untreated_r2,600.0,,24,,,,,,,,,,,,False,,,,too few cells,False,0.0,,dox|activated|run2
dox,GFP,activated,run2,untreated,255,run2,3,run2_255_untreated_r3,600.0,,37,0.9126363039996414,2.3776347227857544,0.7547502865671871,1.464998418786113,-41.09267927042913,9.074235722010304,27.925764277989696,2.0840479748066016,2.281174277405416,0.7837837837837838,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run2
dox,GFP,activated,run2,100,257,run2,1,run2_257_100_r1,600.0,,271,0.5912305419303217,1.5538737149163366,0.7299902666914153,0.962643172986015,-257.94857525712905,73.17260436897463,197.82739563102535,1.2846775082478574,1.4361222482282925,0.5092250922509225,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run2
dox,GFP,activated,run2,100,257,run2,2,run2_257_100_r2,600.0,,37,0.7081728238742663,2.353436327269531,0.5725925955530192,1.6452635033952645,-47.50147225877368,15.81406814678747,21.185931853212526,1.6754223346259007,1.9120073217942433,0.5675675675675675,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run2
dox,GFP,activated,run2,100,257,run2,3,run2_257_100_r3,600.0,,34,0.4500101892808398,1.9897166373464017,0.7126615143951129,1.5397064480655618,-38.37276081574779,9.769506693425289,24.230493306574708,1.6469236766410962,1.911471842620839,0.6764705882352942,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run2
